,Instruction,Logical,Physical,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112
1,"(1, 'A 01 01 01')",r1 <- r1 FPADD r1,I2 <- I1 FPADD I1,IF,ID,II,FP1,FP1,FP1,WB, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,"(2, 'A 01 01 01')",r1 <- r1 FPADD r1,I3 <- I2 FPADD I2,IF,ID,II,II,II,II,FP1,FP1,FP1,WB, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3,"(3, 'A 01 01 01')",r1 <- r1 FPADD r1,I4 <- I3 FPADD I3,IF,ID,II,II,II,II,II,II,II,FP1,FP1,FP1,WB, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,"(4, 'A 01 01 01')",r1 <- r1 FPADD r1,I5 <- I4 FPADD I4,IF,ID,II,II,II,II,II,II,II,II,II,II,FP1,FP1,FP1,WB, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5,"(5, 'A 01 01 01')",r1 <- r1 FPADD r1,I6 <- I5 FPADD I5,,IF,ID,II,II,II,II,II,II,II,II,II,II,II,II,FP1,FP1,FP1,WB, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
6,"(6, 'I 01 01 01')",r1 <- r1 INTOP r1,I7 <- I6 INTOP I6,,IF,ID,II,II,II,II,II,II,II,II,II,II,II,II,II,II,II,ALU1,WB, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
7,"(7, 'A 02 02 01')",r1 <- r2 FPADD r2,I9 <- I8 FPADD I8,,IF,ID,II,FP1,FP1,FP1, , , , , , , , , , , , ,WB, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
8,"(8, 'A 02 02 01')",r1 <- r2 FPADD r2,I10 <- I8 FPADD I8,,IF,ID,II,FP2,FP2,FP2, , , , , , , , , , , , ,WB, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
9,"(9, 'A 02 02 01')",r1 <- r2 FPADD r2,I11 <- I8 FPADD I8,,,IF,ID,II,FP1,FP1,FP1, , , , , , , , , , , ,WB, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
10,"(10, 'A 02 02 01')",r1 <- r2 FPADD r2,I12 <- I8 FPADD I8,,,IF,ID,II,FP2,FP2,FP2, , , , , , , , , , , , ,WB, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
11,"(11, 'A 02 02 01')",r1 <- r2 FPADD r2,I13 <- I8 FPADD I8,,,IF,ID,II,II,FP2,FP2,FP2, , , , , , , , , , , ,WB, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12,"(12, 'A 02 02 01')",r1 <- r2 FPADD r2,I14 <- I8 FPADD I8,,,IF,ID,II,II,II,FP1,FP1,FP1, , , , , , , , , , ,WB, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
